Date,Time,altimeter_set_1,wind_gust_set_1,pressure_change_code_set_1,cloud_layer_3_code_set_1,sea_level_pressure_set_1,sea_level_pressure_set_1d,peak_wind_speed_set_1,cloud_layer_1_code_set_1,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_one_hour_set_1,peak_wind_direction_set_1,pressure_tendency_set_1,ceiling_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,precip_accum_24_hour_set_1,precip_accum_three_hour_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,visibility_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,precip_accum_six_hour_set_1,weather_cond_code_set_1,wind_direction_set_1
12/31/15,01:53AM,102031.84,null,null,null,102030,102035.21,null,2506,null,null,null,null,null,null,null,62.48,10.36,null,null,55.4,null,12/31/15-01:53AM,42.69,10,42.8,null,null,null,280
12/31/15,12:53AM,101997.98,null,null,null,102000,102001.34,null,2506,null,null,null,null,null,null,null,58.29,10.36,null,null,55.4,null,12/31/15-12:53AM,40.87,10,41,null,null,null,260
12/30/15,11:53PM,101964.11,null,null,null,101960,101965.86,null,2506,53.96,null,null,null,6009,null,null,50.93,10.36,null,null,57.2,60.98,12/30/15-11:53PM,39.06,10,39.2,null,null,null,260
12/30/15,10:53PM,101997.98,null,null,null,101980,101998.13,null,2506,null,null,null,null,null,null,null,44.49,10.36,null,null,59,null,12/30/15-10:53PM,37.26,10,37.4,null,null,null,250
12/30/15,09:53PM,101997.98,null,null,null,102000,101996.54,null,1,null,null,null,null,null,null,null,41.73,10.36,null,null,60.8,null,12/30/15-09:53PM,37.26,10,37.4,null,null,null,280
12/30/15,08:53PM,102065.7,null,null,null,102050,102064.25,null,1,null,null,null,null,8029,null,null,38.87,9.22,null,null,60.8,null,12/30/15-08:53PM,35.46,10,35.6,null,null,null,250
12/30/15,07:53PM,102167.3,null,null,null,102150,102167.46,null,1,null,null,null,null,null,null,null,33.35,0,null,null,59,null,12/30/15-07:53PM,30.02,10,30.2,null,null,null,0
12/30/15,06:53PM,102268.89,null,null,null,102280,102270.65,null,1,null,null,null,null,null,null,null,35.58,3.44,null,null,57.2,null,12/30/15-06:53PM,30.02,10,30.2,null,null,null,140
12/30/15,05:53PM,102370.48,null,null,null,102350,102373.86,null,1,42.08,null,null,null,1013,null,null,37.97,0,null,null,55.4,55.04,12/30/15-05:53PM,30.02,10,30.2,null,null,null,0
12/30/15,04:53PM,102336.62,null,null,null,102320,102343.27,null,1,null,null,null,null,null,null,null,40.24,6.91,null,null,51.8,null,12/30/15-04:53PM,28.2,10,28.4,null,null,null,60
12/30/15,03:53PM,102268.89,null,null,null,102260,102280.54,null,1,null,null,null,null,null,null,null,49.22,5.75,null,null,46.4,null,12/30/15-03:53PM,28.2,10,28.4,null,null,null,80
12/30/15,02:53PM,102235.02,null,null,null,102230,102248.35,null,1,null,null,null,null,3008,null,null,52.7,4.61,null,null,44.6,null,12/30/15-02:53PM,28.22,10,28.4,null,null,null,60
12/30/15,01:53PM,102201.16,null,null,null,102190,102216.18,null,1,null,null,null,null,null,null,null,60.77,3.44,null,null,42.8,null,12/30/15-01:53PM,30.04,10,30.2,null,null,null,90
12/30/15,12:53PM,102167.3,null,null,null,102150,102180.62,null,1,null,null,null,null,null,null,null,56.72,3.44,null,null,44.6,null,12/30/15-12:53PM,30.04,10,30.2,null,null,null,70
12/30/15,11:53AM,102167.3,null,null,null,102130,102178.94,null,1,42.98,null,null,null,6,null,null,52.98,5.75,null,null,46.4,53.06,12/30/15-11:53AM,30.02,10,30.2,null,null,null,60
12/30/15,10:53AM,102167.3,null,null,null,102150,102180.62,null,1,null,null,null,null,null,null,null,61.02,3.44,null,null,44.6,null,12/30/15-10:53AM,31.86,10,32,null,null,null,70
12/30/15,09:53AM,102133.43,null,null,null,102120,102145.06,null,1,null,null,null,null,null,null,null,56.99,0,null,null,46.4,null,12/30/15-09:53AM,31.84,10,32,null,null,null,0
12/30/15,08:53AM,102099.57,null,null,null,102070,102109.52,null,1,null,null,null,null,3007,null,null,53.26,4.61,null,null,48.2,null,12/30/15-08:53AM,31.84,10,32,null,null,null,null
12/30/15,07:53AM,102031.84,null,null,null,102030,102040.13,null,1,null,59,null,null,null,null,null,53.53,5.75,null,null,50,null,12/30/15-07:53AM,33.64,10,33.8,39.92,null,null,70
12/30/15,06:53AM,102031.84,null,null,null,102020,102038.47,null,1,null,null,null,null,null,null,null,53.81,4.61,null,null,51.8,null,12/30/15-06:53AM,35.44,10,35.6,null,null,null,null
12/30/15,05:53AM,101997.98,null,null,null,102000,102004.61,null,1,51.08,null,null,null,1013,null,null,57.78,3.44,null,null,51.8,57.02,12/30/15-05:53AM,37.26,10,37.4,null,null,null,60
12/30/15,04:53AM,101997.98,null,null,null,102000,102004.61,null,1,null,null,null,null,null,null,null,57.78,0,null,null,51.8,null,12/30/15-04:53AM,37.26,10,37.4,null,null,null,0
12/30/15,03:53AM,101930.25,null,null,null,101930,101935.23,null,1,null,null,null,null,null,null,null,58.03,3.44,null,null,53.6,null,12/30/15-03:53AM,39.06,10,39.2,null,null,null,350
12/30/15,02:53AM,101862.52,null,null,null,101870,101865.88,null,1,null,null,null,null,3018,null,null,54.35,4.61,null,null,55.4,null,12/30/15-02:53AM,39.06,10,39.2,null,null,null,null
12/30/15,01:53AM,101794.79,null,null,null,101810,101798.14,null,1,null,null,null,null,null,null,null,54.35,5.75,null,null,55.4,null,12/30/15-01:53AM,39.06,10,39.2,null,null,null,330
12/30/15,12:53AM,101727.07,null,null,null,101740,101730.43,null,1506,null,null,null,null,null,null,null,54.35,6.91,null,null,55.4,null,12/30/15-12:53AM,39.06,10,39.2,null,null,null,260
12/29/15,11:53PM,101693.2,null,null,null,101690,101694.94,null,2006,53.06,null,null,null,3006,null,2502,50.93,5.75,null,null,57.2,59,12/29/15-11:53PM,39.06,10,39.2,null,null,null,270
12/29/15,10:53PM,101659.34,null,null,null,101660,101661.08,null,906,null,null,null,null,null,null,1502,44.2,9.22,null,null,57.2,null,12/29/15-10:53PM,35.44,10,35.6,null,null,null,250
12/29/15,09:53PM,101625.47,null,null,null,101630,101627.22,null,906,null,null,null,null,null,null,1602,33.05,9.22,null,null,57.2,null,12/29/15-09:53PM,28.22,10,28.4,null,null,null,250
12/29/15,08:53PM,101625.47,null,null,null,101630,101625.63,null,1,null,null,null,null,8008,null,null,33.35,8.05,null,null,59,null,12/29/15-08:53PM,30.02,10,30.2,null,null,null,270
12/29/15,07:53PM,101659.34,null,null,null,101640,101661.09,null,1,null,null,null,null,null,null,null,33.05,0,null,null,57.2,null,12/29/15-07:53PM,28.22,10,28.4,null,null,null,0
12/29/15,06:53PM,101727.07,null,null,null,101710,101730.43,null,1,null,null,null,null,null,null,null,35.27,3.44,null,null,55.4,null,12/29/15-06:53PM,28.2,10,28.4,null,null,null,null
12/29/15,05:53PM,101727.07,null,null,null,101710,101732.05,null,1,39.92,null,null,null,3026,null,null,43.61,0,null,null,53.6,53.96,12/29/15-05:53PM,31.82,10,32,null,null,null,0
12/29/15,04:53PM,101625.47,null,null,null,101620,101633.72,null,1,null,null,null,null,null,null,null,46.29,4.61,null,null,50,null,12/29/15-04:53PM,30,10,30.2,null,null,null,null
12/29/15,03:53PM,101557.75,null,null,null,101540,101569.31,null,1,null,null,null,null,null,null,null,49.22,6.91,null,null,46.4,null,12/29/15-03:53PM,28.2,10,28.4,null,null,null,50
12/29/15,02:53PM,101490.02,null,null,null,101460,101504.94,null,206,null,null,null,null,3027,null,null,56.46,0,null,null,42.8,null,12/29/15-02:53PM,28.22,10,28.4,null,null,null,0
12/29/15,01:53PM,101354.56,null,null,null,101350,101369.46,null,186,null,null,null,null,null,null,null,56.46,0,null,null,42.8,null,12/29/15-01:53PM,28.22,10,28.4,null,null,null,0
12/29/15,12:53PM,101252.97,null,null,null,101250,101264.5,null,186,null,null,null,null,null,null,null,45.7,4.61,null,null,46.4,null,12/29/15-12:53PM,26.4,10,26.6,null,null,null,30
12/29/15,11:53AM,101185.24,null,null,null,101180,101196.76,null,1,46.94,null,null,null,2004,null,null,45.7,0,null,null,46.4,50,12/29/15-11:53AM,26.4,10,26.6,null,null,null,0
12/29/15,10:53AM,101185.24,null,null,null,101180,101196.76,null,1,null,null,null,null,null,null,null,45.7,5.75,null,null,46.4,null,12/29/15-10:53AM,26.4,10,26.6,null,null,null,20
12/29/15,09:53AM,101151.38,null,null,null,101130,101161.24,null,1,null,null,null,null,null,null,null,42.71,5.75,null,null,48.2,null,12/29/15-09:53AM,26.38,10,26.6,null,null,null,20
12/29/15,08:53AM,101151.38,19.57,null,null,101120,101161.24,null,1,null,null,null,null,7,null,null,42.71,10.36,null,null,48.2,null,12/29/15-08:53AM,26.38,10,26.6,null,null,null,350
12/29/15,07:53AM,101151.38,20.71,null,null,101130,101161.24,null,186,null,57.02,null,null,null,null,null,42.71,11.5,null,null,48.2,null,12/29/15-07:53AM,26.38,10,26.6,39.02,null,null,330
12/29/15,06:53AM,101151.38,null,null,null,101140,101159.59,null,1,null,null,null,null,null,null,null,39.93,11.5,null,null,50,null,12/29/15-06:53AM,26.38,10,26.6,null,null,null,330
12/29/15,05:53AM,101083.65,33.38,null,null,101070,101091.86,null,1,50,null,null,null,5,null,null,39.93,13.8,null,null,50,55.04,12/29/15-05:53AM,26.38,10,26.6,null,null,null,340
12/29/15,04:53AM,101083.65,21.85,null,null,101080,101090.23,null,506,null,null,null,null,null,null,null,37.36,10.36,null,null,51.8,null,12/29/15-04:53AM,26.38,10,26.6,null,null,null,350
12/29/15,03:53AM,101049.79,19.57,null,null,101050,101056.36,null,506,null,null,null,null,null,null,null,40.24,10.36,null,null,51.8,null,12/29/15-03:53AM,28.2,10,28.4,null,null,null,340
12/29/15,02:53AM,101015.92,null,null,null,101020,101020.86,null,506,null,null,null,null,5000,null,null,50.37,5.75,null,null,53.6,null,12/29/15-02:53AM,35.44,10,35.6,null,null,null,340
12/29/15,01:53AM,101015.92,null,null,null,101010,101020.86,null,506,null,null,null,null,null,null,null,66.71,5.75,null,null,53.6,null,12/29/15-01:53AM,42.69,10,42.8,null,null,null,330
12/29/15,12:53AM,101015.92,null,null,null,101030,101020.86,null,486,null,null,null,null,null,null,null,66.71,9.22,null,null,53.6,null,12/29/15-12:53AM,42.69,10,42.8,null,null,null,300
12/28/15,11:53PM,101015.92,null,null,null,101020,101020.86,null,482,51.08,null,null,null,6022,null,null,58.03,5.75,null,null,53.6,57.02,12/28/15-11:53PM,39.06,10,39.2,null,null,null,280
12/28/15,10:53PM,101083.65,null,null,null,101090,101086.99,null,346,null,null,null,null,null,null,482,50.65,6.91,null,null,55.4,null,12/28/15-10:53PM,37.26,10,37.4,null,null,null,280
12/28/15,09:53PM,101151.38,null,null,803,101140,101154.71,null,342,null,null,null,null,null,1524,503,54.35,5.75,null,null,55.4,null,12/28/15-09:53PM,39.06,10,39.2,null,null,null,250
12/28/15,08:53PM,101219.11,null,null,903,101240,101222.45,null,502,null,null,null,null,8031,2286,753,50.65,6.91,null,null,55.4,null,12/28/15-08:53PM,37.26,10,37.4,null,null,null,210
12/28/15,07:53PM,101354.56,null,null,1603,101350,101357.91,null,322,null,null,null,null,null,3048,1003,54.35,0,null,null,55.4,null,12/28/15-07:53PM,39.06,10,39.2,null,null,null,0
12/28/15,06:53PM,101490.02,null,null,1603,101480,101494.99,null,312,null,null,null,null,null,2743.2,903,46.88,4.61,null,null,53.6,null,12/28/15-06:53PM,33.62,10,33.8,null,null,null,null
12/28/15,05:53PM,101557.75,null,null,1603,101550,101564.35,null,376,39.02,null,null,null,8004,2743.2,903,40.24,5.75,null,null,51.8,51.08,12/28/15-05:53PM,28.2,10,28.4,null,null,null,100
12/28/15,04:53PM,101557.75,null,null,1503,101570,101567.65,null,356,null,null,null,null,null,2895.6,953,39.63,5.75,null,null,48.2,null,12/28/15-04:53PM,24.58,10,24.8,null,null,null,90
12/28/15,03:53PM,101591.61,null,null,1502,101580,101604.86,null,326,null,null,null,null,null,null,1102,39.02,8.05,null,null,44.6,null,12/28/15-03:53PM,20.97,10,21.2,null,null,null,60
12/28/15,02:53PM,101591.61,null,null,1402,101590,101608.25,null,406,null,null,null,null,5006,null,1002,44.8,4.61,null,null,41,null,12/28/15-02:53PM,20.97,10,21.2,null,null,null,60
12/28/15,01:53PM,101591.61,null,null,null,101570,101608.25,null,2206,null,null,null,null,null,null,null,44.8,3.44,null,null,41,null,12/28/15-01:53PM,20.97,10,21.2,null,null,null,100
12/28/15,12:53PM,101591.61,null,null,null,101580,101609.96,null,1,null,null,null,null,null,null,null,51.85,3.44,null,null,39.2,null,12/28/15-12:53PM,22.8,10,23,null,null,null,110
12/28/15,11:53AM,101659.34,null,null,null,101650,101674.28,null,1,41,null,null,null,8015,null,null,48.64,0,null,null,42.8,51.08,12/28/15-11:53AM,24.6,10,24.8,null,null,null,0
12/28/15,10:53AM,101760.93,null,null,null,101740,101775.89,null,1,null,null,null,null,null,null,null,56.46,3.44,null,null,42.8,null,12/28/15-10:53AM,28.22,10,28.4,null,null,null,60
12/28/15,09:53AM,101760.93,null,null,null,101750,101777.6,null,1,null,null,null,null,null,null,null,65.13,4.61,null,null,41,null,12/28/15-09:53AM,30.06,10,30.2,null,null,null,110
12/28/15,08:53AM,101828.66,null,null,null,101800,101841.94,null,1,null,null,null,null,8013,null,null,52.7,4.61,null,null,44.6,null,12/28/15-08:53AM,28.22,10,28.4,null,null,null,130
12/28/15,07:53AM,101862.52,null,null,null,101840,101874.12,null,1,null,60.08,null,null,null,null,null,52.98,4.61,null,null,46.4,null,12/28/15-07:53AM,30.02,10,30.2,39.02,null,null,100
12/28/15,06:53AM,101896.38,null,null,null,101890,101906.32,null,1,null,null,null,null,null,null,null,42.71,5.75,null,null,48.2,null,12/28/15-06:53AM,26.38,10,26.6,null,null,null,120
12/28/15,05:53AM,101930.25,null,null,null,101930,101936.88,null,1,48.92,null,null,null,6006,null,null,34.67,0,null,null,51.8,57.02,12/28/15-05:53AM,24.58,10,24.8,null,null,null,0
12/28/15,04:53AM,101964.11,null,null,null,101950,101970.74,null,1,null,null,null,null,null,null,null,32.15,3.44,null,null,51.8,null,12/28/15-04:53AM,22.78,10,23,null,null,null,350
12/28/15,03:53AM,101964.11,null,null,null,101950,101969.11,null,2006,null,null,null,null,null,null,null,30.09,4.61,null,null,53.6,null,12/28/15-03:53AM,22.78,10,23,null,null,null,350
12/28/15,02:53AM,101997.98,null,null,null,102000,102001.35,null,2006,null,null,null,null,8000,null,null,43.9,8.05,null,null,55.4,null,12/28/15-02:53AM,33.62,10,33.8,null,null,null,260
12/28/15,01:53AM,102031.84,null,null,null,102030,102036.84,null,2006,null,null,null,null,null,null,null,46.88,10.36,null,null,53.6,null,12/28/15-01:53AM,33.62,10,33.8,null,null,null,260
12/28/15,12:53AM,101997.98,null,null,null,102010,102001.35,null,1506,null,null,null,null,null,null,2002,43.9,11.5,null,null,55.4,null,12/28/15-12:53AM,33.62,10,33.8,null,null,null,280
12/27/15,11:53PM,101997.98,null,null,null,102010,101999.74,null,1506,55.04,null,null,null,6014,null,2002,38.27,10.36,null,null,57.2,60.08,12/27/15-11:53PM,31.82,10,32,null,null,null,270
12/27/15,10:53PM,102031.84,null,null,null,102030,102032,null,1506,null,null,null,null,null,6096,2003,35.88,12.66,null,null,59,null,12/27/15-10:53PM,31.84,10,32,null,null,null,260
12/27/15,09:53PM,102065.7,null,null,null,102050,102067.46,null,1506,null,null,null,null,null,6096,2003,24.47,10.36,null,null,57.2,null,12/27/15-09:53PM,21.02,10,21.2,null,null,null,250
12/27/15,08:53PM,102133.43,null,null,null,102140,102135.2,null,1506,null,null,null,null,8029,6096,2003,19.4,13.8,null,null,57.2,null,12/27/15-08:53PM,15.64,10,15.8,null,null,null,260
12/27/15,07:53PM,102235.02,null,null,null,102240,102233.58,null,2002,null,null,null,null,null,7620,2503,13.44,0,null,null,60.8,null,12/27/15-07:53PM,10.33,10,10.4,null,null,null,0
12/27/15,06:53PM,102370.48,null,null,null,102370,102372.25,null,2002,null,null,null,null,null,7620,2503,16.55,4.61,null,null,57.2,null,12/27/15-06:53PM,12.04,10,12.2,null,null,null,null
12/27/15,05:53PM,102438.21,null,null,null,102430,102441.6,null,2006,39.02,null,null,null,9,null,2502,19.13,5.75,null,null,55.4,55.04,12/27/15-05:53PM,13.82,10,14,null,null,null,340
12/27/15,04:53PM,102472.07,null,null,null,102460,102478.74,null,2006,null,null,null,null,null,null,null,23.61,3.44,null,null,51.8,null,12/27/15-04:53PM,15.57,10,15.8,null,null,null,null
12/27/15,03:53PM,102404.34,null,null,null,102400,102416.01,null,2006,null,null,null,null,null,null,null,31.23,3.44,null,null,46.4,null,12/27/15-03:53PM,17.35,10,17.6,null,null,null,30
12/27/15,02:53PM,102370.48,null,null,null,102360,102387.25,null,1,null,null,null,null,3000,null,null,41.49,5.75,null,null,41,null,12/27/15-02:53PM,19.17,10,19.4,null,null,null,90
12/27/15,01:53PM,102336.62,null,null,null,102310,102355.1,null,1,null,null,null,null,null,null,null,48.05,3.44,null,null,39.2,null,12/27/15-01:53PM,20.98,10,21.2,null,null,null,60
12/27/15,12:53PM,102336.62,null,null,null,102330,102355.1,null,1,null,null,null,null,null,null,null,48.05,3.44,null,null,39.2,null,12/27/15-12:53PM,20.98,10,21.2,null,null,null,70
12/27/15,11:53AM,102370.48,null,null,null,102350,102385.53,null,1,39.02,null,null,null,8004,null,null,41.8,4.61,null,null,42.8,51.98,12/27/15-11:53AM,20.97,10,21.2,null,null,null,20
12/27/15,10:53AM,102404.34,null,null,null,102380,102419.4,null,1,null,null,null,null,null,null,null,41.8,0,null,null,42.8,null,12/27/15-10:53AM,20.97,10,21.2,null,null,null,0
12/27/15,09:53AM,102370.48,null,null,null,102370,102382.14,null,1,null,null,null,null,null,null,null,33.75,0,null,null,46.4,null,12/27/15-09:53AM,19.17,10,19.4,null,null,null,0
12/27/15,08:53AM,102404.34,null,null,null,102390,102419.4,null,1,null,null,null,null,8004,null,null,45.1,5.75,null,null,42.8,null,12/27/15-08:53AM,22.78,10,23,null,null,null,110
12/27/15,07:53AM,102404.34,null,null,null,102400,102414.33,null,1,null,60.08,null,null,null,null,null,26.99,3.44,null,null,48.2,null,12/27/15-07:53AM,15.55,10,15.8,46.04,null,null,110
12/27/15,06:53AM,102438.21,null,null,null,102430,102446.54,null,1,null,null,null,null,null,null,null,25.24,0,null,null,50,null,12/27/15-06:53AM,15.57,10,15.8,null,null,null,0
12/27/15,05:53AM,102438.21,null,null,null,102410,102444.88,null,1,48.92,null,null,null,1010,null,null,18.6,5.75,null,null,51.8,57.92,12/27/15-05:53AM,10.2,10,10.4,null,null,null,110
12/27/15,04:53AM,102404.34,null,null,null,102400,102414.33,null,1,null,null,null,null,null,null,null,34.05,0,null,null,48.2,null,12/27/15-04:53AM,20.97,10,21.2,null,null,null,0
12/27/15,03:53AM,102370.48,null,null,null,102360,102375.5,null,1,null,null,null,null,null,null,null,25.82,3.44,null,null,53.6,null,12/27/15-03:53AM,19.18,10,19.4,null,null,null,130
12/27/15,02:53AM,102336.62,null,null,null,102330,102341.63,null,1,null,null,null,null,1001,null,null,25.82,4.61,null,null,53.6,null,12/27/15-02:53AM,19.18,10,19.4,null,null,null,130
12/27/15,01:53AM,102302.75,null,null,null,102310,102306.14,null,1,null,null,null,null,null,null,null,32.75,3.44,null,null,55.4,null,12/27/15-01:53AM,26.4,10,26.6,null,null,null,140
12/27/15,12:53AM,102336.62,null,null,null,102320,102338.38,null,1,null,null,null,null,null,null,null,26.4,5.75,null,null,57.2,null,12/27/15-12:53AM,22.8,10,23,null,null,null,220
12/26/15,11:53PM,102302.75,null,null,null,102310,102304.52,null,1,57.92,null,null,null,6006,null,null,22.66,9.22,null,null,57.2,60.08,12/26/15-11:53PM,19.22,10,19.4,null,null,null,200
12/26/15,10:53PM,102336.62,null,null,null,102330,102336.78,null,1,null,null,null,null,null,null,null,18.18,10.36,null,null,59,null,12/26/15-10:53PM,15.64,10,15.8,null,null,null,200
12/26/15,09:53PM,102336.62,20.71,null,null,102340,102335.18,null,1,null,null,null,null,null,null,null,18.44,11.5,null,null,60.8,null,12/26/15-09:53PM,17.46,10,17.6,null,null,null,210
12/26/15,08:53PM,102370.48,null,null,null,102360,102370.64,null,1,null,null,null,null,8021,null,null,19.66,12.66,null,null,59,null,12/26/15-08:53PM,17.44,10,17.6,null,null,null,180
12/26/15,07:53PM,102438.21,null,null,null,102430,102438.38,null,1,null,null,null,null,null,null,null,13.21,6.91,null,null,59,null,12/26/15-07:53PM,8.49,10,8.6,null,null,null,200
12/26/15,06:53PM,102539.8,null,null,null,102520,102539.96,null,1,null,null,null,null,null,null,null,10.32,0,null,null,59,null,12/26/15-06:53PM,3.16,10,3.2,null,null,null,0
12/26/15,05:53PM,102573.66,16.11,null,null,102580,102575.44,null,1,46.04,null,null,null,1009,null,null,11,10.36,null,null,57.2,57.92,12/26/15-05:53PM,3.13,10,3.2,null,null,null,20
12/26/15,04:53PM,102573.66,null,null,null,102560,102578.7,null,1,null,null,null,null,null,null,null,16.06,8.05,null,null,53.6,null,12/26/15-04:53PM,8.42,10,8.6,null,null,null,150
12/26/15,03:53PM,102539.8,null,null,null,102540,102548.13,null,1,null,null,null,null,null,null,null,23.33,11.5,null,null,50,null,12/26/15-03:53PM,13.77,10,14,null,null,null,330
12/26/15,02:53PM,102505.93,null,null,null,102510,102515.93,null,1506,null,null,null,null,3011,null,null,29.19,10.36,null,null,48.2,null,12/26/15-02:53PM,17.37,10,17.6,null,null,null,300
12/26/15,01:53PM,102472.07,null,null,null,102450,102482.06,null,1,null,null,null,null,null,null,null,36.75,5.75,null,null,48.2,null,12/26/15-01:53PM,22.77,10,23,null,null,null,320
12/26/15,12:53PM,102438.21,null,null,null,102420,102449.88,null,1,null,null,null,null,null,null,null,42.41,11.5,null,null,46.4,null,12/26/15-12:53PM,24.58,10,24.8,null,null,null,10
12/26/15,11:53AM,102404.34,null,null,null,102380,102416,null,1,46.04,null,null,null,1022,null,null,45.7,3.44,null,null,46.4,50,12/26/15-11:53AM,26.4,10,26.6,null,null,null,10
12/26/15,10:53AM,102370.48,null,null,null,102350,102382.14,null,1,null,null,null,null,null,null,null,45.7,4.61,null,null,46.4,null,12/26/15-10:53AM,26.4,10,26.6,null,null,null,320
12/26/15,09:53AM,102268.89,21.85,null,null,102260,102278.86,null,1,null,null,null,null,null,null,null,42.71,9.22,null,null,48.2,null,12/26/15-09:53AM,26.38,10,26.6,null,null,null,340
